text,label
Free money now!!!,spam
"Hi Bob,can we meet tomorrow?",ham
Win a brand new car!,spam
"Dear friend,I have a business proposal for you.",spam
Are you coming to the meeting?,ham
Congratulations! You've been selected for a prize.,spam
Don't forget to submit your assignment.,ham
"Limited time offer,get it now!",spam
Can we reschedule our meeting?,ham
Urgent: Update your account information.,spam
Win a $1000 gift card now!,spam
Important notice about your account,ham
Congratulations! You've won a free ticket,spam
Meeting agenda for next week,ham
Claim your free prize now!,spam
How to improve your email management,ham
Exclusive offer just for you,spam
Monthly newsletter update,ham